"","tickers","names"
"2067","SOI","SOI"
"2068","SWI","SWI"
"2069","SAH","Sonic Automotive, Inc."
"2070","SON","Sonoco Products Company"
"2071","SNE","Sony Corporation"
"2072","SOS","SOS"
"2073","SOR","Source Capital, Inc."
"2074","SJI","South Jersey Industries, Inc."
"2075","SJIJ","SJIJ"
"2076","SJIU","SJIU"
"2077","SO","The Southern Company"
"2078","SOJA","The Southern Company"
"2079","SOJB","SOJB"
"2080","SOJC","SOJC"
"2081","SOJD","SOJD"
"2082","SOLN","SOLN"
"2083","SCCO","Southern Copper Corporation"
"2084","LUV","Southwest Airlines Co."
"2085","SWX","Southwest Gas Holdings, Inc."
"2086","SWN","Southwestern Energy Company"
"2087","SPAQ","SPAQ"
"2088","SPE","Special Opportunities Fund, Inc."
"2089","SPB           ","SPB           "
"2090","SR","Spire Inc."
"2091","SPR","Spirit AeroSystems Holdings, Inc."
"2092","SAVE","Spirit Airlines, Inc."
"2093","SRC","Spirit Realty Capital, Inc."
"2094","SPOT","SPOT"
"2095","SRLP","Sprague Resources LP"
"2096","SII","SII"
"2097","SPXC","SPX Corporation"
"2098","FLOW","SPX FLOW, Inc."
"2099","SQ","Square, Inc."
"2100","JOE","The St. Joe Company"
"2101","STAG","STAG Industrial, Inc."
"2102","SMP","Standard Motor Products, Inc."
"2103","SXI","Standex International Corporation"
"2104","SWK","Stanley Black & Decker, Inc."
"2105","SWT","SWT"
"2106","STN","STN"
"2107","SGU","Star Gas Partners, L.P."
"2108","SRT","StarTek, Inc."
"2109","STWD","Starwood Property Trust, Inc."
"2110","STT","State Street Corporation"
"2111","SPLP","Steel Partners Holdings L.P."
"2112","SCS","Steelcase Inc."
"2113","SCA","SCA"
"2114","SCM","Stellus Capital Investment Corporation"
"2115","SCL","Stepan Company"
"2116","STE","Steris Plc"
"2117","STL","Sterling Bancorp"
"2118","STC","Stewart Information Services Corporation"
"2119","SF","Stifel Financial Corp."
"2120","SFB","SFB"
"2121","STM","STMicroelectronics N.V."
"2122","EDF","Stone Harbor Emerging Markets Income Fund"
"2123","EDI","Stone Harbor Emerging Markets Total Income Fund"
"2124","STON","StoneMor Partners L.P."
"2125","SRI","Stoneridge, Inc."
"2126","STOR","STORE Capital Corporation"
"2127","GJH","STRATS Trust for United States Cellular Corp. Securities, Series 2004-6"
"2128","GJO","Strats Trust Wal Mart Stores Inc."
"2129","GJS","STRATS Trust for Goldman Sachs Group Securities, Series 2006-2"
"2130","SYK","Stryker Corporation"
"2131","MSC","Bank of America Corporation MIT"
"2132","RGR","Sturm, Ruger & Company, Inc."
"2133","SPH","Suburban Propane Partners, L.P."
"2134","SMFG","Sumitomo Mitsui Financial Group, Inc."
"2135","INN","Summit Hotel Properties, Inc."
"2136","SUM","Summit Materials, Inc."
"2137","SMLP","Summit Midstream Partners, LP"
"2138","SUI","Sun Communities, Inc."
"2139","SLF","Sun Life Financial Inc."
"2140","SXC","SunCoke Energy, Inc."
"2141","SU","Suncor Energy Inc."
"2142","STG","STG"
"2143","NOVA","NOVA"
"2144","SUN","Sunoco LP"
"2145","SHO","Sunstone Hotel Investors, Inc."
"2146","SPN","Superior Energy Services, Inc."
"2147","SUP","Superior Industries International, Inc."
"2148","SOAC","SOAC"
"2149","SUZ","SUZ"
"2150","SWZ","The Swiss Helvetia Fund Inc."
"2151","SWCH","SWCH"
"2152","SBE","SBE"
"2153","SYF","Synchrony Financial"
"2154","SNX","SYNNEX Corporation"
"2155","SNV","Synovus Financial Corp."
"2156","GJP","STRATS Trust For Dominion Resources Inc. Securities, Series 2005-6"
"2157","GJR","Strats Trust For Procter & Gambel Security"
"2158","GJT","Strats(SM) Trust For Allstate Corp Securities, Series 2006-3"
"2159","SYY","Sysco Corporation"
"2160","SYX","Systemax Inc."
"2161","TLRD","Tailored Brands, Inc."
"2162","TWN","The Taiwan Fund, Inc."
"2163","TSM","Taiwan Semiconductor Manufacturing Company Limited"
"2164","TAK","TAK"
"2165","TAL","TAL Education Group"
"2166","TALO","TALO"
"2167","SKT","Tanger Factory Outlet Centers, Inc."
"2168","TPR","TPR"
"2169","TRGP","Targa Resources Corp."
"2170","TGT","Target Corporation"
"2171","TARO","Taro Pharmaceutical Industries Ltd."
"2172","TTM","Tata Motors Limited"
"2173","TCO","Taubman Centers, Inc."
"2174","TMHC","Taylor Morrison Home Corporation"
"2175","TRP","TransCanada Corporation"
"2176","TCP","TC PipeLines, LP"
"2177","TSI","TCW Strategic Income Fund, Inc."
"2178","TEL","TE Connectivity Ltd."
"2179","TISI","Team, Inc."
"2180","FTI","TechnipFMC plc"
"2181","TECK","TECK"
"2182","TK","Teekay Corporation"
"2183","TGP","Teekay LNG Partners L.P."
"2184","TNK","Teekay Tankers Ltd."
"2185","TGNA","TEGNA Inc."
"2186","TRC","Tejon Ranch Co."
"2187","HQH","Tekla Healthcare Investors"
"2188","THQ","Tekla Healthcare Opportunities Fund"
"2189","HQL","Tekla Life Sciences Investors"
"2190","THW","Tekla World Healthcare Fund"
"2191","TDOC","Teladoc, Inc."
"2192","TEO","Telecom Argentina S.A."
"2193","TDY","Teledyne Technologies Incorporated"
"2194","TFX","Teleflex Incorporated"
"2195","VIV","Telefônica Brasil S.A."
"2196","TEF","Telefónica, S.A."
"2197","TDA","Telephone & Data Systems Inc."
"2198","TDE","Telephone and Data Systems, Inc."
"2199","TDI","Telephone and Data Systems, Inc."
"2200","TDJ","Telephone and Data Systems, Inc."
"2201","TDS","Telephone and Data Systems, Inc."
"2202","TU","TELUS Corporation"
"2203","TDF","Templeton Dragon Fund, Inc."
"2204","EMF","Templeton Emerging Markets Fund"
"2205","TEI","Templeton Emerging Markets Income Fund"
"2206","GIM","Templeton Global Income Fund"
"2207","TPX","Tempur Sealy International, Inc."
"2208","TS","Tenaris S.A."
"2209","TME","TME"
"2210","THC","Tenet Healthcare Corp."
"2211","TNC","Tennant Company"
"2212","TEN","Tenneco Inc."
"2213","TVC","Tennessee Valley Authority"
"2214","TVE","Tennessee Valley Authority"
"2215","TDC","Teradata Corporation"
"2216","TEX","Terex Corporation"
"2217","TX","Ternium S.A."
"2218","TRNO","Terreno Realty Corporation"
"2219","TTI","TETRA Technologies, Inc."
"2220","TEVA","Teva Pharmaceutical Industries Limited"
"2221","TPL","Texas Pacific Land Trust"
"2222","TGH","Textainer Group Holdings Limited"
"2223","TXT","Textron Inc."
"2224","TFII","TFII"
"2225","AES","The AES Corporation"
"2226","AZEK","AZEK"
"2227","BK","The Bank of New York Mellon Corporation"
"2228","BX","The Blackstone Group L.P."
"2229","CEE","The Central and Eastern Europe Fund, Inc."
"2230","SCHW","The Charles Schwab Corporation"
"2231","COO","The Cooper Companies, Inc."
"2232","GDV","The Gabelli Dividend & Income Trust"
"2233","GRX","The Gabelli Healthcare & Wellness Trust"
"2234","GDL","The GDL Fund"
"2235","THG","The Hanover Insurance Group, Inc."
"2236","THGA","The Hanover Insurance Group, Inc."
"2237","TRV","The Travelers Companies, Inc."
"2238","TMO","Thermo Fisher Scientific Inc."
"2239","THR","Thermon Group Holdings, Inc."
"2240","TPRE","Third Point Reinsurance Ltd."
"2241","TRI","Thomson Reuters Corporation"
"2242","THO","Thor Industries, Inc."
"2243","TDW","Tidewater Inc."
"2244","TIF","Tiffany & Co."
"2245","TLYS","Tilly's, Inc."
"2246","TSU","TIM Participações S.A."
"2247","TKR","The Timken Company"
"2248","TMST","TimkenSteel Corporation"
"2249","TWI","Titan International, Inc."
"2250","TJX","The TJX Companies, Inc."
"2251","TOL","Toll Brothers, Inc."
"2252","TR","Tootsie Roll Industries, Inc."
"2253","BLD","TopBuild Corp."
"2254","TTC","The Toro Company"
"2255","TD","The Toronto-Dominion Bank"
"2256","SHLL","SHLL"
"2257","NDP","Tortoise Energy Independence Fund, Inc."
"2258","TYG","Tortoise Energy Infrastructure Corporation"
"2259","TEAF","TEAF"
"2260","NTG","NTG"
"2261","TTP","Tortoise Pipeline & Energy Fund, Inc."
"2262","TPZ","Tortoise Power and Energy Infrastructure Fund, Inc."
"2263","TOT","TOTAL S.A."
"2264","TSQ","Townsquare Media, Inc."
"2265","TM","Toyota Motor Corporation"
"2266","TRTX","TRTX"
"2267","TT","TT"
"2268","TAC","TransAlta Corporation"
"2269","TCI","Transcontinental Realty Investors, Inc."
"2270","TDG","TransDigm Group Incorporated"
"2271","RIG","Transocean Ltd."
"2272","TGS","Transportadora de Gas Del Sur S.A."
"2273","TRU","TransUnion"
"2274","TREC","Trecora Resources"
"2275","TG","Tredegar Corporation"
"2276","THS","Treehouse Foods, Inc."
"2277","TREX","Trex Company, Inc."
"2278","TY","Tri-Continental Corporation"
"2279","TPH","TRI Pointe Group, Inc."
"2280","TRNE","TRNE"
"2281","TNET","TriNet Group, Inc."
"2282","TRN","Trinity Industries, Inc."
"2283","TSE","Trinseo S.A."
"2284","TPVG","TriplePoint Venture Growth BDC Corp."
"2285","TPVY","TPVY"
"2286","GTS","Triple-S Management Corporation"
"2287","TRTN","TRTN"
"2288","TGI","Triumph Group, Inc."
"2289","TROX","Tronox Limited"
"2290","TBI","TrueBlue, Inc."
"2291","TFC","TFC"
"2292","TNP","Tsakos Energy Navigation Limited"
"2293","TUFN","TUFN"
"2294","TUP","Tupperware Brands Corporation"
"2295","TKC","Turkcell Iletisim Hizmetleri A.S."
"2296","TPB","TPB"
"2297","TRQ","Turquoise Hill Resources Ltd."
"2298","TPC","Tutor Perini Corporation"
"2299","TWLO","TWLO"
"2300","TRWH","TRWH"
"2301","TWTR","Twitter, Inc."
"2302","TWO","Two Harbors Investment Corp."
"2303","TYL","Tyler Technologies, Inc."
"2304","TSN","Tyson Foods, Inc."
"2305","USB","U.S. Bancorp"
"2306","USPH","U.S. Physical Therapy, Inc."
"2307","SLCA","U.S. Silica Holdings, Inc."
"2308","USX","USX"
"2309","UBER","UBER"
"2310","UI","UI"
"2311","UBS","UBS Group AG"
"2312","UDR","UDR, Inc."
"2313","UGI","UGI Corporation"
"2314","UGP","Ultrapar Participações S.A."
"2315","UMH","UMH Properties, Inc."
"2316","UA","Under Armour, Inc."
"2317","UAA","UAA"
"2318","UFI","Unifi, Inc."
"2319","UNF","UniFirst Corporation"
"2320","UN","Unilever N.V."
"2321","UL","Unilever PLC"
"2322","UNP","Union Pacific Corporation"
"2323","UIS","Unisys Corporation"
"2324","UMC","United Microelectronics Corporation"
"2325","UNFI","United Natural Foods, Inc."
"2326","UPS","United Parcel Service, Inc."
"2327","URI","United Rentals, Inc."
"2328","USM","United States Cellular Corporation"
"2329","UZA","United States Cellular Corporation"
"2330","UZB","United States Cellular Corporation"
"2331","UZC","United States Cellular Corporation"
"2332","X","United States Steel Corporation"
"2333","UNH","UnitedHealth Group Incorporated"
"2334","UTL","Unitil Corporation"
"2335","UNVR","Univar Inc."
"2336","UVV","Universal Corporation"
"2337","UHT","Universal Health Realty Income Trust"
"2338","UHS","Universal Health Services, Inc."
"2339","UVE","Universal Insurance Holdings, Inc."
"2340","UTI","Universal Technical Institute, Inc."
"2341","UNM","Unum Group"
"2342","UNMA","UNMA"
"2343","UE","Urban Edge Properties"
"2344","UBA","Urstadt Biddle Properties Inc."
"2345","UBP","Urstadt Biddle Properties Inc."
"2346","USFD","USFD"
"2347","USAC","USA Compression Partners, LP"
"2348","USNA","USANA Health Sciences, Inc."
"2349","USDP","USD Partners LP"
"2350","BIF","Boulder Growth & Income Fund, Inc."
"2351","VFC","V.F. Corporation"
"2352","EGY","VAALCO Energy, Inc."
"2353","MTN","Vail Resorts, Inc."
"2354","VAL","The Valspar Corporation"
"2355","VALE","Vale S.A."
"2356","VLO","Valero Energy Corporation"
"2357","VHI","Valhi, Inc."
"2358","VMI","Valmont Industries, Inc."
"2359","VVV","VVV"
"2360","VAPO","VAPORIN INC."
"2361","VAR","Varian Medical Systems, Inc."
"2362","VGR","Vector Group Ltd."
"2363","VEC","Vectrus, Inc."
"2364","VEDL","Vedanta Limited"
"2365","VEEV","Veeva Systems Inc."
"2366","VEL","VEL"
"2367","VNTR","VNTR"
"2368","VTR","Ventas, Inc."
"2369","VNE","VNE"
"2370","VER","VEREIT, Inc."
"2371","VRTV","Veritiv Corporation"
"2372","VZ","Verizon Communications Inc."
"2373","VET","Vermilion Energy Inc."
"2374","VRS","VRS"
"2375","VCIF","VCIF"
"2376","VRT","VRT"
"2377","VVI","Viad Corp"
"2378","VICI","VICI"
"2379","VNCE","Vince Holding Corp."
"2380","VIPS","Vipshop Holdings Limited"
"2381","SPCE","SPCE"
"2382","VHC","VirnetX Holding Corp"
"2383","VGI","Virtus Global Multi-Sector Income Fund"
"2384","ZTR","Virtus Global Dividend & Income Fund Inc."
"2385","V","Visa Inc."
"2386","VSH","Vishay Intertechnology, Inc."
"2387","VPG","Vishay Precision Group, Inc."
"2388","VIST","VIST"
"2389","VSTO","Vista Outdoor Inc."
"2390","VST","VST"
"2391","VVNT","VVNT"
"2392","VSLR","Vivint Solar, Inc."
"2393","VMW","VMware, Inc."
"2394","VOC","VOC Energy Trust"
"2395","VCRA","Vocera Communications, Inc."
"2396","VNO","Vornado Realty Trust"
"2397","VJET","Voxeljet AG"
"2398","IAE","Voya Asia Pacific High Dividend Equity Income Fund"
"2399","IHD","Voya Emerging Markets High Dividend Equity Fund"
"2400","VOYA","Voya Financial, Inc."
"2401","IGA","Voya Global Advantage and Premium Opportunity Fund"
"2402","IGD","Voya Global Equity Dividend and Premium Opportunity Fund"
"2403","IDE","Voya Infrastructure, Industrials and Materials Fund"
"2404","IID","Voya International High Dividend Equity Income Fund"
"2405","IRR","Voya Natural Resources Equity Income Fund"
"2406","PPR","Voya Prime Rate Trust"
"2407","VMC","Vulcan Materials Company"
"2408","WTI","W&T Offshore, Inc."
"2409","WPC","W. P. Carey Inc."
"2410","WRB","W. R. Berkley Corporation"
"2411","GRA","W. R. Grace & Co."
"2412","GWW","W.W. Grainger, Inc."
"2413","WNC","Wabash National Corporation"
"2414","WDR","Waddell & Reed Financial, Inc."
"2415","WD","Walker & Dunlop, Inc."
"2416","WMT","Wal-Mart Stores, Inc."
"2417","DIS","The Walt Disney Company"
"2418","HCC","HCC"
"2419","WPG","Washington Prime Group Inc."
"2420","WRE","Washington Real Estate Investment Trust"
"2421","WCN","Waste Connections, Inc."
"2422","WM","Waste Management, Inc."
"2423","WAT","Waters Corporation"
"2424","WSO","Watsco, Inc."
"2425","WTS","Watts Water Technologies, Inc."
"2426","W","Wayfair Inc."
"2427","WBS","Webster Financial Corporation"
"2428","WEC","WEC Energy Group, Inc."
"2429","WEI","WEI"
"2430","WRI","Weingarten Realty Investors"
"2431","WMK","Weis Markets, Inc."
"2432","WBT","WBT"
"2433","WFC","Wells Fargo & Company"
"2434","EOD","Wells Fargo Advantage Funds - Wells Fargo Global Dividend Opportunity Fund"
"2435","WELL","WELL"
"2436","WCC","WESCO International, Inc."
"2437","WST","West Pharmaceutical Services, Inc."
"2438","WAL","Western Alliance Bancorporation"
"2439","WALA","WALA"
"2440","WEA","Western Asset Premier Bond Fund"
"2441","TLI","Western Asset Corporate Loan Fund Inc."
"2442","EMD","Western Asset Emerging Markets Debt Fund Inc."
"2443","GDO","Western Asset Global Corporate Defined Opportunity Fund Inc."
"2444","EHI","Western Asset Global High Income Fund Inc."
"2445","HIX","Western Asset High Income Fund II Inc."
"2446","HIO","Western Asset High Income Opportunity Fund Inc."
"2447","HYI","Western Asset High Yield Defined Opportunity Fund Inc."
"2448","SBI","Western Asset Intermediate Muni Fund Inc."
"2449","IGI","Western Asset Investment Grade Defined Opportunity Trust Inc."
"2450","PAI","Western Asset Income Fund"
"2451","MMU","Western Asset Managed Municipals Fund Inc."
"2452","WMC","Western Asset Mortgage Capital Corporation"
"2453","DMO","Western Asset Mortgage Defined Opportunity Fund Inc."
"2454","MTT","Western Asset Municipal Defined Opportunity Trust Inc."
"2455","MHF","Western Asset Municipal High Income Fund Inc."
"2456","MNP","Western Asset Municipal Partners Fund Inc."
"2457","GFY","Western Asset Variable Rate Strategic Fund Inc."
"2458","WIW","Western Asset/Claymore Inflation-Linked Opportunities & Income Fund"
"2459","WIA","Western Asset/Claymore Inflation-Linked Securities & Income Fund"
"2460","WES","Western Gas Partners, LP"
"2461","WU","The Western Union Company"
"2462","WAB","Westinghouse Air Brake Technologies Corporation"
"2463","WLK","Westlake Chemical Corporation"
"2464","WLKP","Westlake Chemical Partners LP"
"2465","WBK","Westpac Banking Corporation"
"2466","WRK","WestRock Company"
"2467","WHG","Westwood Holdings Group, Inc."
"2468","WEX","WEX Inc."
"2469","WY","Weyerhaeuser Co."
"2470","WPM","WPM"
"2471","WHR","Whirlpool Corporation"
"2472","WTM","White Mountains Insurance Group, Ltd."
"2473","WSR","Whitestone REIT"
"2474","WLL","Whiting Petroleum Corporation"
"2475","WOW","WOW"
"2476","WMB","The Williams Companies, Inc."
"2477","WSM","Williams-Sonoma, Inc."
"2478","WGO","Winnebago Industries, Inc."
"2479","WIT","Wipro Limited"
"2480","WNS","WNS (Holdings) Limited"
"2481","WWW","Wolverine World Wide, Inc."
"2482","WF","Woori Bank Co., Ltd."
"2483","WK","Workiva Inc."
"2484","INT","World Fuel Services Corporation"
"2485","WWE","World Wrestling Entertainment, Inc."
"2486","WOR","Worthington Industries, Inc."
"2487","WPP","WPP"
"2488","WPX","WPX Energy, Inc."
"2489","WYND","WYND"
"2490","WH","WH"
"2491","XYF","XYF"
"2492","XFLT","XFLT"
"2493","XHR","Xenia Hotels & Resorts, Inc."
"2494","XRX","Xerox Corporation"
"2495","XIN","Xinyuan Real Estate Co., Ltd."
"2496","XPO","XPO Logistics, Inc."
"2497","XYL","Xylem Inc."
"2498","AUY","Yamana Gold Inc."
"2499","YELP","Yelp Inc."
"2500","YETI","YETI"
"2501","YEXT","YEXT"
"2502","YRD","Yirendai Ltd."
"2503","DAO","DAO"
"2504","YPF","YPF Sociedad Anonima"
"2505","YUMC","YUMC"
"2506","YUM","Yum! Brands, Inc."
"2507","ZEN","Zendesk, Inc."
"2508","ZBH","Zimmer Biomet Holdings, Inc."
"2509","ZTS","Zoetis Inc."
"2510","ZTO","ZTO"
"2511","ZUO","ZUO"
"2512","ZYME","ZYME"
"2513","GOED","GOED"
"2514","XXII","22nd Century Group, Inc."
"2515","FAX","Aberdeen Asia-Pacific Income Fund, Inc."
"2516","IAF","Aberdeen Australia Equity Fund, Inc."
"2517","AEF","AEF"
"2518","FCO","Aberdeen Global Income Fund, Inc."
"2519","ACU","Acme United Corporation"
"2520","ATNM","Actinium Pharmaceuticals, Inc."
"2521","AE","Adams Resources & Energy, Inc."
"2522","ACY","AeroCentury Corp."
"2523","UAVS","UAVS"
"2524","AGE","AGE"
"2525","AIRI","Air Industries Group"
"2526","AXU","Alexco Resource Corp."
"2527","AAU","Almaden Minerals Ltd."
"2528","APT","Alpha Pro Tech, Ltd."
"2529","AAMC","Altisource Asset Management Corporation"
"2530","AMBO","AMBO"
"2531","DIT","AMCON Distributing Company"
"2532","AMS","American Shared Hospital Services"
"2533","USAS","USAS"
"2534","AMPE","Ampio Pharmaceuticals, Inc."
"2535","ANVS","ANV Security Group, Inc."
"2536","ARMP","ARMP"
"2537","AINC","Ashford, Inc."
"2538","AUG","AUG"
"2539","AWX","Avalon Holdings Corporation"
"2540","ASM","Avino Silver & Gold Mines Ltd."
"2541","BTG","B2Gold Corp."
"2542","BTN","Ballantyne Strong, Inc"
"2543","BCV","Bancroft Fund Ltd."
"2544","BHB","Bar Harbor Bankshares"
"2545","BRN","Barnwell Industries, Inc."
"2546","BATL","BATL"
"2547","BIOX","BIOX"
"2548","PHGE","PHGE"
"2549","BGI","Birks Group Inc."
"2550","BKTI","BKTI"
"2551","BDR","Blonder Tongue Laboratories, Inc."
"2552","BRBS","Blue Ridge Bankshares, Inc."
"2553","BRG","Bluerock Residential Growth REIT, Inc."
"2554","DMF","Dreyfus Municipal Income, Inc."
"2555","CMCL","CMCL"
"2556","CEI","CEI"
"2557","CANF","Can-Fite BioPharma Ltd."
"2558","YCBD","YCBD"
"2559","CVM","CEL-SCI Corporation"
"2560","CET","Central Securities Corp."
"2561","LEU","Centrus Energy Corp."
"2562","CHAQ","CHAQ"
"2563","CCF","Chase Corporation"
"2564","CQP","Cheniere Energy Partners, L.P."
"2565","LNG","Cheniere Energy, Inc."
"2566","CVR","Chicago Rivet & Machine Co."
"2567","CPHI","China Pharma Holdings, Inc."
"2568","CKX","CKX Lands, Inc."
"2569","GLV","Clough Global Dividend and Income Fund"
"2570","GLQ","Clough Global Equity Fund"
"2571","GLO","Clough Global Opportunities Fund"
"2572","COHN","COHN"
"2573","CIX","CompX International Inc."
"2574","LODE","Comstock Mining Inc."
"2575","CDOR","Condor Hospitality Trust Inc."
"2576","MCF","Contango Oil & Gas Company"
"2577","CMT","Core Molding Technologies, Inc."
"2578","CRMD","CorMedix, Inc."
"2579","CRF","Cornerstone Total Return Fund, Inc."
"2580","CLM","Cornerstone Strategic Value Fund, Inc."
"2581","CVU","CPI Aerostructures, Inc."
"2582","CIK","Credit Suisse Asset Management Income Fund, Inc."
"2583","DHY","Credit Suisse High Yield Bond Fund, Inc."
"2584","CRHM","CRH Medical Corporation"
"2585","CTO","Consolidated-Tomoka Land Co."
"2586","CTEK","CTEK"
"2587","DXR","Daxor Corporation"
"2588","VCF","Delaware Investments Colorado Municipal Income Fund, Inc."
"2589","VFL","Delaware Investments National Municipal Income Fund"
"2590","VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc."
"2591","DLA","Delta Apparel, Inc."
"2592","DNN","Denison Mines Corp."
"2593","DSS","Document Security Systems, Inc."
"2594","DPW","Digital Power Corporation"
"2595","DXF","DXF"
"2596","GRF","Eagle Capital Growth Fund, Inc."
"2597","EVM","Eaton Vance California Municipal Bond Fund"
"2598","CEV","Eaton Vance California Municipal Income Trust"
"2599","EVV","Eaton Vance Limited Duration Income Fund"
"2600","EIM","Eaton Vance Municipal Bond Fund"
"2601","ENX","Eaton Vance New York Municipal Bond Fund"
"2602","EVY","Eaton Vance New York Municipal Income Trust"
"2603","ELMD","Electromed, Inc."
"2604","ELLO","Ellomay Capital Ltd."
"2605","ECF","Ellsworth Growth and Income Fund Ltd."
"2606","EMAN","eMagin Corporation"
"2607","MSN","Emerson Radio Corp."
"2608","EMX","EMX"
"2609","UUUU","Energy Fuels Inc."
"2610","ENSV","Enservco Corporation"
"2611","ELA","Entergy Louisiana, LLC First Mo"
"2612","EQX","EQX"
"2613","ESP","Espey Mfg. & Electronics Corp."
"2614","EVBN","Evans Bancorp, Inc."
"2615","EVI","EnviroStar, Inc."
"2616","EPM","Evolution Petroleum Corporation"
"2617","FEN","First Trust Energy Income and Growth Fund"
"2618","BDL","Flanigan's Enterprises, Inc."
"2619","FSI","Flexible Solutions International Inc."
"2620","FTF","Franklin Limited Duration Income Trust"
"2621","FSP","Franklin Street Properties Corp."
"2622","FRD","Friedman Industries, Incorporated"
"2623","FTSI","FTSI"
"2624","GAU","GAU"
"2625","GGN","GAMCO Global Gold, Natural Resources & Income Trust"
"2626","JOB","Gee Group Inc."
"2627","GMO","General Moly, Inc."
"2628","GSB","GlobalSCAPE, Inc."
"2629","GSAT","Globalstar, Inc."
"2630","GORO","Gold Resource Corp"
"2631","GSV","Gold Standard Ventures Corp"
"2632","AUMN","Golden Minerals Company"
"2633","GSS","Golden Star Resources Ltd."
"2634","GV","The Goldfield Corporation"
"2635","GDP","GDP"
"2636","GTE","Gran Tierra Energy Inc."
"2637","GPL","Great Panther Silver Limited"
"2638","SIM","Grupo Simec, S.A.B. de C.V."
"2639","AIM","AIM"
"2640","HMG","HMG/Courtland Properties, Inc."
"2641","HUSA","Houston American Energy Corp."
"2642","IBIO","iBio, Inc."
"2643","IBO","IBO (Listing Market - NYSE Amex"
"2644","IMH","Impac Mortgage Holdings, Inc."
"2645","IMO","Imperial Oil Limited"
"2646","IOR","IOR"
"2647","IGC","India Globalization Capital, Inc."
"2648","INDO","INDO"
"2649","INFU","InfuSystem Holdings Inc."
"2650","IHT","Innsuites Hospitality Trust"
"2651","NSPR","InspireMD, Inc."
"2652","ITRG","ITRG"
"2653","INS","Intelligent Systems Corporation"
"2654","THM","International Tower Hill Mines Ltd."
"2655","INTT","inTEST Corporation"
"2656","INUV","Inuvo, Inc."
"2657","VKI","Invesco Advantage Municipal Income Trust II"
"2658","ISR","IsoRay, Inc."
"2659","ISDR","Issuer Direct Corporation"
"2660","ITP","ITP"
"2661","KLR","KLR"
"2662","KIQ","Kelso Technologies Inc."
"2663","LGL","The LGL Group, Inc."
"2664","LCTX","LCTX"
"2665","MAG","MAG Silver Corp."
"2666","MHH","Mastech Digital, Inc."
"2667","MTNB","Matinas BioPharma Holdings, Inc."
"2668","MMX","MMX"
"2669","IPB","Merrill Lynch Depositor Inc. 6.0518% Index Plus Trust Series 2003-1"
"2670","MTA","MTA"
"2671","MXC","Mexco Energy Corporation"
"2672","MLSS","Milestone Scientific Inc."
"2673","MYO","MYO"
"2674","NNVC","NanoViricides, Inc."
"2675","ATEST","ATEST"
"2676","NHC","National HealthCare Corporation"
"2677","NAVB","Navidea Biopharmaceuticals, Inc"
"2678","NTIP","Network-1 Technologies, Inc."
"2679","NBW","Neuberger Berman California Intermediate Municipal Fund Inc."
"2680","NHS","Neuberger Berman High Yield Strategies Fund Inc."
"2681","NML","Neuberger Berman MLP Income Fund Inc."
"2682","NBH","Neuberger Berman Intermediate Municipal Fund Inc."
"2683","NBO","Neuberger Berman New York Intermediate Municipal Fund Inc."
"2684","NRO","Neuberger Berman Real Estate Securities Income Fund Inc."
"2685","GBR","New Concept Energy, Inc."
"2686","NEN","New England Realty Associates LP"
"2687","NGD","New Gold Inc."
"2688","NXE","NXE"
"2689","NAK","Northern Dynasty Minerals Ltd."
"2690","NOG","Northern Oil and Gas, Inc."
"2691","NBY","NovaBay Pharmaceuticals, Inc."
"2692","NG","NovaGold Resources Inc."
"2693","NTN","NTN Buzztime, Inc."
"2694","NES","NES"
"2695","OBLG","OBLG"
"2696","OCX","OncoCyte Corporation"
"2697","OGEN","Oragenics, Inc."
"2698","PTN","Palatin Technologies, Inc."
"2699","PZG","Paramount Gold Nevada Corp."
"2700","PRK","Park National Corporation"
"2701","PED","PEDEVCO Corp."
"2702","PFNX","Pfenex Inc."
"2703","HNW","Pioneer Diversified High Income Trust"
"2704","PLAG","PLAG"
"2705","PLG","Platinum Group Metals Ltd."
"2706","PLM","Polymet Mining Corp."
"2707","PW","Power REIT"
"2708","PLX","Protalix BioTherapeutics, Inc."
"2709","RLGT","Radiant Logistics, Inc."
"2710","UTG","Reaves Utility Income Fund"
"2711","RHE","RHE"
"2712","RCG","RENN Fund, Inc."
"2713","RVP","Retractable Technologies, Inc."
"2714","REI","Ring Energy, Inc."
"2715","SACC","SACC"
"2716","SACH","SACH"
"2717","SCCB","SCCB"
"2718","SNMP","SNMP"
"2719","SEB","Seaboard Corporation"
"2720","SENS","Senseonics Holdings, Inc."
"2721","SVT","Servotronics, Inc."
"2722","SMTS","SMTS"
"2723","SIF","SIFCO Industries, Inc."
"2724","SVM","SVM"
"2725","SILV","SILV"
"2726","XPL","Solitario Zinc Corp."
"2727","LOV","Spark Networks, Inc."
"2728","STXS","Stereotaxis, Inc."
"2729","SSY","SunLink Health Systems, Inc."
"2730","SDPI","Superior Drilling Products, Inc."
"2731","SYN","Synthetic Biologics, Inc."
"2732","TKAT","Takung Art Co., Ltd."
"2733","TRX","Tanzanian Royalty Exploration Corporation"
"2734","TGB","Taseko Mines Limited"
"2735","TGC","Tengasco, Inc."
"2736","GLU","The Gabelli Global Utility & Income Trust"
"2737","GGO","GGO"
"2738","TMBR","TMBR"
"2739","TMP","Tompkins Financial Corporation"
